region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2022-05-09,,1. sofortige bedingungslose Wiederherstellung aller Grundrechte! 2. Somit die sofortige Aufhebung aller Corona Maßnahmen und jeglicher Impfpflicht! 3. die Vollständige wissenschaftliche sowie rechtliche Aufarbeitung der Corona-Maßnahmen! 4. Keine Unterzeichnung des WHO-Pandemievertragses! 5. Keine Waffenlieferung an die Ukraine,750.0,
Baden-Württemberg,Karlsruhe,2022-05-10,,Neue Sicherheits- und Entwicklungsarchitektur für alle Nationen statt Hunger und Krieg,3.0,
Baden-Württemberg,Karlsruhe,2022-05-12,,"Maskenfreie Feststellung: Der sizilianische Verwaltungsgerichtshof hat entschieden, dass Italiens Corona-Impfpflicht verfassungswidrig ist. Der Oberste Gerichtshof in Indien hat entschieden, dass niemand zur Impfung gezwungen werden darf. Wann entscheidet das deutsche Bundesverfassungsgericht ebenso?",47.0,
Baden-Württemberg,Karlsruhe,2022-05-12,,Tag der Pflegenden  - Für bessere Arbeitsbedingungen in Pflegeberufen,20.0,
Baden-Württemberg,Karlsruhe,2022-05-12,,Tag der Pflegenden mit Kunstaktion,50.0,
Baden-Württemberg,Karlsruhe,2022-05-13,,"Frieden, Freiheit, Grundgesetz, keine Impfpflicht, keine Maskenpflicht, keine sanitäre Segregation",300.0,
Baden-Württemberg,Karlsruhe,2022-05-14,,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,80.0,
Baden-Württemberg,Karlsruhe,2022-05-14,,"Geisternetze, Demonstration gegen das Sterben der Meere",20.0,
Baden-Württemberg,Karlsruhe,2022-05-15,,Kidical Mass - bundesweite Kinder-Fahrrad-Demo,200.0,
Baden-Württemberg,Karlsruhe,2022-05-15,,Ride for Europe 2022,75.0,
Baden-Württemberg,Karlsruhe,2022-05-16,,"Wir fordern: 1. Sofortige bedingungslose Wiederherstellung aller Grundrechte, 2. Somit die sofortige Aufhebung aller Corona Maßnahmen und jeglicher Impfpflicht 3. Die vollständige wissenschaftliche sowie rechtliche Aufarbeitung der Corona  Maßnahmen 4. Keine Unterzeichnung des WHO Pandemie Vertrages 5. Keine Waffenlieferung an die Ukraine - stattdessen Friedensgespräche ",750.0,
Baden-Württemberg,Karlsruhe,2022-05-16,,"Montagsdemo gegen Hartz IV und Sozialabbau, Aktiver Widerstand für den Weltfrieden! Gegen alle Kriegstreiber!",50.0,
Baden-Württemberg,Karlsruhe,2022-05-17,,IDAHO* - Int. Tag gegen Homophobie,120.0,
Baden-Württemberg,Karlsruhe,2022-05-19,," Maskenfreie Feststellung: Obwohl die ""epidemische Lage von nationaler Tragweite"" aufgehoben ist, wird de",47.0,
Baden-Württemberg,Karlsruhe,2022-05-20,,Lichterkette für Frieden und Versöhnung auf der Hildapromenade (Grünstreifen) ,700.0,
Baden-Württemberg,Karlsruhe,2022-05-20,,2 Jahre Corona-Pandemie. Die Aufarbeitung beginnt. Ziehen wir die Verantwortlichen der übergriffigen Corona-Maßnahmen zur Verantwortung! Wir schauen gemeinsam einen Dokumentarfilm Plandamned.,100.0,
Baden-Württemberg,Karlsruhe,2022-05-21,,Catcalls of Karlsruhe kreiden an,2.0,
